pickup_distance_km,time_difference_min,route_overlap_percent,detour_km,destination_compatibility,preference_compatible,match
3.86,19,32.5,3.89,0.4,1,0
1.5,8,35.19,3.27,0.3,1,0
3.17,2,38.98,0.72,0.72,1,1
1.87,19,77.0,0.21,0.75,1,1
3.26,29,74.07,3.1,0.96,1,0
1.18,23,52.2,3.9,0.22,1,0
1.34,22,81.26,0.38,0.7,1,1
2.31,17,73.2,3.81,0.12,0,0
3.77,10,51.47,0.42,0.23,1,1
0.37,17,46.73,0.63,0.43,0,1
2.9,9,33.35,2.7,0.63,0,0
3.43,8,6.62,3.47,0.01,0,0
3.74,14,76.56,3.7,0.98,1,0
4.82,25,52.46,2.39,0.91,0,0
1.83,1,11.15,0.39,0.57,1,1
4.63,19,13.65,2.1,0.25,1,0
0.55,1,56.93,3.35,0.83,0,1
0.4,10,32.83,3.6,0.38,1,0
0.47,1,37.85,3.21,0.97,1,1
0.65,6,85.86,1.59,0.63,1,1
4.77,7,24.08,3.82,0.98,1,0
3.71,4,20.37,0.18,0.78,1,1
4.86,14,33.43,0.22,0.07,0,0
4.99,9,15.63,0.46,0.15,0,0
4.11,23,81.52,3.47,0.93,1,0
3.71,4,12.34,0.39,0.57,0,0
2.4,5,43.22,0.5,0.93,0,1
2.83,21,57.85,2.56,0.2,0,0
4.81,12,37.17,0.27,0.24,1,0
2.73,30,95.82,2.34,0.32,1,0
1.38,28,20.9,0.88,0.59,1,0
3.2,12,21.31,2.85,0.14,1,0
2.89,18,84.74,2.39,0.54,1,1
4.84,4,51.83,3.34,0.16,0,0
3.24,10,99.27,2.4,0.54,1,1
4.01,10,20.18,3.16,0.34,1,0
1.28,19,50.06,2.75,0.92,0,0
0.26,16,31.68,3.62,0.99,1,0
2.01,24,65.37,3.25,0.03,1,0
1.03,30,56.09,0.75,0.91,1,1
4.04,1,91.51,1.85,0.73,0,1
1.74,30,10.18,2.74,0.95,0,0
4.88,25,99.55,3.74,0.8,0,0
2.13,6,25.4,1.49,0.4,0,0
4.14,25,13.41,1.05,0.5,1,0
2.32,13,48.37,1.72,0.28,1,0
2.37,8,46.3,2.9,0.76,0,0
2.16,19,35.48,2.33,0.8,1,0
1.29,6,22.93,3.09,0.34,0,0
0.59,25,64.96,1.69,0.72,0,0
4.62,9,38.9,1.17,0.62,0,0
4.66,19,2.14,1.78,0.28,1,0
3.19,12,53.72,2.83,0.34,1,0
0.47,12,83.69,2.97,0.49,0,1
2.07,11,65.1,2.73,0.98,0,0
0.98,26,84.33,3.8,0.93,1,1
2.17,20,91.43,3.66,0.38,1,0
1.58,1,89.46,1.58,0.07,1,1
3.28,28,78.78,0.3,0.6,0,1
1.65,9,17.77,0.4,1.0,0,0
0.81,2,1.98,2.18,0.84,1,0
3.66,16,28.66,0.78,0.94,1,0
3.24,18,98.46,1.75,0.94,0,1
4.51,5,21.6,2.95,0.94,0,0
0.67,29,75.21,1.96,0.77,0,1
2.0,19,98.18,2.47,0.25,1,1
3.12,11,66.73,2.39,0.46,1,0
3.42,15,80.19,1.06,0.74,0,1
4.71,27,66.71,1.36,0.66,1,0
4.1,21,58.46,0.73,0.96,0,0
2.9,0,52.76,3.07,0.66,0,0
3.23,25,84.36,0.61,0.19,0,0
0.67,5,84.58,0.76,0.85,0,1
3.02,7,12.08,2.12,0.94,0,0
1.58,9,25.69,1.96,0.65,0,0
4.36,4,100.0,3.4,0.65,1,1
2.96,9,13.82,1.89,0.42,0,0
0.62,7,77.53,2.68,0.88,0,1
1.42,17,25.48,3.56,0.97,1,0
3.57,27,91.24,2.08,0.56,0,0
4.91,12,29.63,2.25,0.25,1,0
4.95,28,50.67,1.18,0.3,1,0
2.22,17,96.08,2.45,0.31,0,0
1.19,25,23.11,1.02,0.63,0,0
3.17,0,91.48,3.53,0.18,1,0
2.67,3,88.88,1.66,0.76,0,1
4.21,30,62.84,1.83,0.71,1,0
2.99,7,20.39,2.17,0.32,1,0
1.31,24,66.74,2.81,0.93,0,0
0.84,8,35.07,2.07,0.99,0,0
2.37,8,39.31,2.54,0.28,0,0
2.32,10,2.23,3.01,0.85,1,0
2.57,17,49.34,1.23,0.71,0,0
1.13,7,55.39,3.82,0.61,1,0
3.76,3,1.7,3.36,0.85,0,0
1.76,13,40.83,0.53,0.13,1,0
3.77,18,22.14,0.29,0.1,0,0
3.82,20,29.59,1.31,0.33,1,0
0.13,4,13.66,1.17,0.54,0,1
4.43,2,45.41,2.54,0.51,1,0
1.13,20,46.1,1.42,0.91,0,0
2.0,9,90.71,2.3,0.6,1,1
4.19,24,51.42,0.47,0.6,1,1
3.2,23,77.72,1.38,0.09,1,0
4.86,7,13.94,3.98,0.9,0,0
3.36,24,81.25,2.17,0.88,1,0
3.81,7,16.53,0.39,0.3,1,0
1.31,24,40.23,2.1,0.06,0,0
1.87,8,37.92,2.32,0.9,0,0
3.28,7,62.7,1.12,0.11,0,0
2.33,18,61.07,0.45,0.22,1,1
4.17,19,67.61,1.52,0.9,1,0
0.65,27,60.19,2.74,0.87,1,0
1.53,25,83.04,2.16,0.43,0,0
2.54,26,73.46,2.66,0.26,1,0
2.8,23,36.6,3.08,0.48,0,0
2.27,20,88.9,0.58,0.71,0,1
0.66,6,14.65,2.07,1.0,0,0
2.33,23,12.05,3.82,0.17,0,0
3.28,25,50.49,3.55,0.72,0,0
1.67,0,97.46,2.82,0.57,0,1
2.46,11,13.08,3.01,0.17,1,0
2.03,27,86.19,3.8,0.75,1,0
2.71,17,7.89,1.78,0.49,1,0
0.85,26,59.83,1.77,0.24,1,0
3.62,24,2.6,2.76,0.3,1,0
4.45,23,24.52,2.24,0.76,0,0
4.71,14,61.31,3.25,0.13,0,0
0.87,25,73.31,2.71,0.5,0,0
1.16,25,9.69,0.35,0.36,1,0
3.98,23,3.07,0.86,0.44,0,0
0.8,0,87.03,2.72,0.72,0,1
4.97,2,37.79,3.35,0.45,0,0
3.32,27,74.62,0.26,0.07,1,1
0.12,20,92.8,2.13,0.69,0,1
0.81,25,63.37,0.17,0.03,0,1
0.37,18,87.26,1.6,0.59,1,1
4.3,6,45.43,2.03,0.1,1,0
4.78,29,80.93,2.43,0.62,1,0
3.44,9,85.56,0.27,0.97,1,1
0.57,20,58.23,3.74,0.74,1,0
1.49,13,71.28,1.84,0.68,0,1
0.72,29,39.82,2.4,0.14,0,0
1.07,20,39.41,1.87,0.57,0,0
2.76,13,66.17,0.69,0.01,1,0
2.79,22,8.09,1.21,0.28,0,0
2.16,2,84.52,3.61,0.89,0,1
0.11,22,33.44,0.2,0.76,0,1
3.28,2,52.31,1.41,0.16,0,1
4.43,28,38.95,3.3,0.08,0,0
3.93,29,95.44,2.1,0.36,1,0
0.62,2,58.52,3.09,0.51,1,1
1.43,26,11.56,3.16,0.38,1,0
1.61,21,23.12,1.05,0.48,1,0
3.09,19,50.95,1.24,0.16,0,0
1.34,7,27.88,2.32,0.53,0,0
4.86,12,55.67,1.25,0.41,0,0
0.58,8,62.54,1.44,0.57,0,1
3.28,23,7.39,0.93,0.78,1,0
1.93,24,87.58,0.96,0.03,0,1
0.54,23,57.41,0.11,0.26,0,1
0.7,27,38.29,0.74,0.18,1,0
3.39,21,23.51,0.98,0.38,0,0
1.66,17,92.28,2.5,0.33,0,0
2.29,11,66.75,3.29,0.09,0,0
1.48,15,42.97,1.53,0.29,1,0
1.13,2,34.38,2.12,0.14,0,0
4.43,29,86.6,3.92,0.02,1,0
2.18,8,59.44,0.98,0.53,0,1
2.56,27,19.26,1.18,0.85,1,0
1.99,30,18.4,2.04,0.16,0,0
2.97,21,95.04,1.74,0.46,1,0
3.81,22,74.18,0.37,0.75,0,1
2.66,23,28.27,1.43,0.85,0,0
1.52,23,98.6,3.45,0.72,0,0
1.12,26,87.73,2.0,0.18,1,1
4.76,29,21.02,0.51,0.43,0,0
2.97,0,28.48,0.79,0.36,0,0
3.56,25,56.45,1.7,0.4,1,0
4.32,7,70.74,0.33,0.56,1,1
3.7,22,11.11,1.15,0.75,0,0
2.6,21,43.35,3.5,0.38,0,0
3.58,4,10.69,1.16,0.44,0,0
2.97,24,76.0,1.45,0.18,0,1
4.49,22,91.95,0.94,0.71,1,1
3.86,3,93.29,0.57,0.36,1,1
3.39,11,59.26,1.29,0.65,1,0
0.88,4,55.57,0.36,0.06,0,1
1.48,12,7.2,2.38,0.39,0,0
2.9,16,57.53,2.61,0.17,1,0
2.06,8,53.95,2.83,0.01,0,0
1.04,10,34.48,1.12,0.53,1,1
3.66,28,95.16,3.52,0.52,1,0
0.42,21,58.2,1.02,0.44,1,1
2.93,17,79.32,3.76,0.26,1,0
3.38,25,29.03,0.24,0.19,1,0
1.42,12,50.56,0.82,0.35,1,1
3.5,18,12.94,2.52,0.24,1,0
4.04,28,4.66,3.31,0.7,1,0
0.31,10,62.32,2.91,0.38,1,1
4.26,20,96.75,1.07,0.65,1,1
0.76,23,23.64,2.64,0.11,1,0
4.44,22,2.3,2.22,0.42,0,0
1.34,6,11.13,3.45,0.4,1,0
2.56,5,76.83,3.75,0.17,0,1
4.03,30,99.32,1.18,0.42,1,0
3.49,11,87.34,0.85,0.39,0,1
1.03,2,60.36,3.0,0.87,1,1
2.44,1,63.66,0.83,0.36,0,1
3.5,13,64.68,1.24,0.29,0,0
3.63,30,23.94,3.14,0.96,0,0
1.51,18,69.83,3.86,0.51,0,0
3.93,24,55.23,1.05,0.78,1,0
1.79,2,73.74,0.9,0.12,0,1
4.0,9,78.43,0.89,0.05,1,1
2.06,23,14.21,0.15,0.95,0,0
5.0,23,37.08,0.75,0.22,1,0
3.26,29,28.14,0.55,0.64,1,0
0.67,9,47.84,0.73,0.27,1,1
2.75,29,34.81,2.27,0.92,0,0
4.67,17,86.65,0.92,0.99,0,1
1.79,1,53.81,3.73,0.05,1,0
3.46,14,57.59,3.77,0.08,1,0
3.28,4,70.98,1.12,0.71,0,1
3.48,23,54.45,2.96,0.9,1,0
1.74,8,86.22,2.54,0.78,1,1
1.17,7,13.67,1.65,0.62,1,0
4.41,24,39.95,1.0,0.33,1,0
3.6,8,66.91,0.13,0.77,1,1
3.03,14,89.41,0.94,0.57,0,1
2.33,30,1.36,1.77,0.86,0,0
1.65,0,18.82,2.8,0.56,1,0
2.67,18,67.87,2.93,0.2,1,0
3.51,8,41.8,1.65,0.95,1,0
3.5,2,16.11,3.71,0.84,0,0
3.39,25,54.81,0.76,0.5,1,0
4.96,10,52.42,1.26,0.76,1,1
4.76,23,62.27,1.79,0.9,0,0
0.91,12,96.46,1.97,0.63,1,1
3.92,19,39.48,2.89,0.71,0,0
1.04,20,61.8,0.14,0.92,1,1
4.2,0,1.79,1.0,0.99,0,0
4.59,7,88.42,1.41,0.6,1,1
4.69,6,10.1,3.53,0.36,0,0
1.22,12,66.09,3.11,0.97,0,0
3.52,22,85.9,0.54,0.8,0,1
3.48,3,92.76,1.03,0.01,1,1
3.62,24,49.1,3.36,0.03,1,0
4.63,22,36.54,2.38,0.17,0,0
0.13,0,14.79,2.22,0.62,0,0
4.87,17,34.95,2.63,0.64,1,0
3.18,0,3.88,1.94,0.05,0,0
0.93,4,6.36,0.44,0.34,1,1
0.76,5,26.98,1.16,0.9,0,0
2.42,21,28.34,3.24,0.88,0,0
0.72,18,90.27,0.22,0.58,1,1
3.09,13,18.5,3.71,0.55,1,0
2.62,18,13.26,1.49,0.95,0,0
3.58,19,83.73,1.6,0.28,1,0
4.64,11,68.81,1.46,0.39,0,0
2.9,24,66.74,2.11,0.87,1,0
0.24,29,98.85,2.79,0.47,1,1
4.34,22,79.13,2.74,0.44,0,0
2.53,10,10.34,0.69,0.82,1,0
1.72,30,41.95,2.53,0.57,0,0
3.72,18,65.08,0.49,0.68,1,1
0.27,0,94.63,1.64,0.3,0,1
4.45,24,26.66,3.01,0.93,1,0
1.78,0,45.43,3.79,0.31,1,0
1.03,10,28.36,3.32,0.45,1,0
3.59,9,94.36,1.04,0.62,0,1
1.47,5,65.5,0.84,0.59,1,1
4.19,15,27.17,1.86,0.76,1,0
0.55,10,36.22,2.42,0.52,1,0
4.7,13,7.72,3.89,0.75,0,0
3.74,8,95.84,1.44,0.21,0,1
4.54,27,9.37,0.38,0.75,0,0
0.45,5,15.63,2.06,0.81,1,1
4.44,18,59.69,2.44,0.33,0,0
4.2,16,16.22,3.89,0.57,0,0
3.65,6,12.54,0.17,0.6,0,0
1.93,27,45.93,2.91,0.02,0,0
4.52,11,52.47,1.49,0.32,1,0
2.34,4,13.13,1.47,0.97,0,0
4.61,27,27.19,2.17,0.0,1,0
4.62,6,92.72,1.67,0.7,0,1
3.16,16,62.26,0.24,0.04,0,1
2.09,14,82.91,0.56,0.1,0,1
1.37,4,7.18,3.31,0.2,1,0
0.77,1,60.35,0.22,0.47,0,1
3.23,14,27.33,2.02,0.68,1,0
0.74,24,43.96,0.93,0.04,0,0
4.34,8,96.85,1.64,0.63,0,1
1.12,20,58.68,3.02,0.45,1,0
4.8,7,96.05,1.58,0.7,1,1
4.35,24,40.18,3.6,0.64,0,0
3.86,9,91.09,1.11,0.77,0,1
3.56,26,59.22,1.12,0.98,1,0
0.4,11,97.86,3.96,0.44,0,1
3.32,1,24.32,0.84,0.69,0,0
4.31,22,94.52,1.95,0.06,0,0
3.87,22,79.27,3.8,0.66,0,0
1.42,25,88.32,3.8,0.96,1,1
2.54,17,71.71,2.92,0.03,0,0
2.43,27,57.32,1.54,0.59,0,0
3.15,11,26.22,0.94,0.53,0,0
4.94,19,51.65,1.22,0.94,1,1
1.73,6,34.39,3.39,0.92,0,0
1.88,1,33.77,3.88,0.83,0,0
2.49,10,22.67,2.65,0.23,1,0
4.41,7,98.6,0.57,0.52,0,1
0.22,21,44.04,0.99,0.94,0,1
4.66,29,46.76,2.48,0.63,0,0
2.53,6,12.57,1.95,0.38,0,0
4.87,1,18.22,1.44,0.69,0,0
3.87,5,42.42,1.16,0.85,1,1
3.16,0,79.53,3.84,0.46,1,0
4.27,19,16.56,0.92,0.53,0,0
0.31,22,54.99,2.07,0.33,0,0
4.48,29,63.43,3.86,0.89,1,0
3.45,12,49.32,3.13,0.15,0,0
4.34,9,91.85,2.6,0.94,1,1
3.84,26,9.41,1.67,0.92,1,0
1.83,10,23.46,3.86,0.47,1,0
3.44,30,2.0,3.74,0.04,0,0
0.78,30,95.32,0.92,0.26,0,1
4.51,28,88.05,0.44,0.27,1,1
2.71,13,58.61,0.95,0.47,0,0
1.89,5,92.93,1.92,0.09,0,1
0.97,14,48.48,0.65,0.72,1,1
2.03,14,31.62,2.32,0.0,0,0
1.95,9,17.03,3.86,0.03,0,0
0.88,14,33.64,3.89,0.67,0,0
4.04,18,47.14,2.22,0.23,1,0
0.52,10,47.25,3.03,0.17,0,0
2.76,15,50.09,1.83,0.58,0,0
4.27,6,17.39,0.18,0.81,0,0
4.31,25,84.14,1.63,0.76,1,0
0.85,29,14.04,3.6,0.42,0,0
2.0,26,18.41,1.56,0.71,1,0
2.89,12,16.21,0.99,0.42,0,0
2.14,20,23.91,2.74,0.98,1,0
1.61,19,78.98,2.56,0.28,1,0
2.47,16,18.65,0.17,0.18,1,0
2.8,1,19.62,2.91,0.76,0,0
3.86,22,88.41,1.4,0.18,1,0
0.31,22,75.26,1.87,0.4,0,1
2.48,21,14.4,3.15,0.36,1,0
0.38,5,54.5,3.97,0.65,1,1
1.75,10,82.62,1.44,0.16,1,1
0.18,20,39.12,2.71,0.85,1,0
4.1,14,85.14,3.95,0.92,0,0
4.09,3,4.49,1.38,0.27,0,0
0.61,26,40.73,3.43,0.33,1,0
0.87,14,10.93,3.83,0.24,1,0
2.58,1,30.06,3.06,0.11,0,0
0.82,17,81.11,1.73,0.47,1,1
2.94,10,19.9,3.0,0.07,1,0
4.9,0,31.49,1.87,0.77,1,0
2.95,2,49.56,0.53,0.21,0,0
1.35,28,80.64,3.37,1.0,0,0
3.44,11,21.89,1.6,0.66,0,0
2.96,15,43.94,1.78,0.01,1,0
4.89,7,58.45,3.53,0.72,0,0
1.37,13,45.52,3.92,0.84,0,0
1.9,20,60.18,1.21,0.27,1,0
4.1,0,69.54,2.53,0.12,0,0
3.81,19,26.68,2.64,0.59,1,0
2.02,10,54.51,3.06,0.95,0,0
1.05,27,61.61,2.27,0.57,1,0
4.57,1,54.8,3.47,0.24,1,0
0.93,26,11.91,1.93,0.89,1,0
1.6,11,53.28,2.19,0.98,1,0
0.57,4,16.91,3.91,0.89,0,0
3.59,6,98.24,2.56,0.06,1,0
1.85,18,60.15,1.89,0.26,1,0
0.23,23,33.47,0.11,0.67,1,1
1.48,14,68.39,2.16,0.42,1,0
1.07,18,41.59,1.79,0.19,0,0
1.16,22,88.9,0.61,0.41,1,1
2.95,26,73.98,1.04,0.94,1,1
3.46,17,60.64,3.94,0.28,1,0
3.45,12,83.08,3.55,0.82,0,0
3.71,27,69.32,2.75,0.08,0,0
3.73,7,97.58,3.11,0.72,0,0
0.46,24,15.56,1.19,0.51,0,0
3.67,22,28.3,1.91,0.76,1,0
4.62,0,93.49,2.9,0.15,0,0
3.3,7,95.44,1.17,0.08,0,1
1.0,28,74.84,1.6,0.7,1,1
4.13,1,36.27,1.28,0.9,0,0
4.32,16,52.58,1.36,0.83,1,1
4.09,17,7.77,3.47,0.59,0,0
3.29,19,40.6,2.79,0.31,0,0
3.92,30,75.59,2.47,0.96,0,0
3.19,15,3.59,3.24,0.43,0,0
0.59,25,93.15,1.73,0.77,1,1
4.19,14,71.2,0.16,0.26,1,1
0.47,0,90.37,1.4,0.24,1,1
4.14,7,33.9,2.5,0.69,1,0
3.68,28,98.08,1.78,0.69,1,0
1.91,4,48.6,0.41,0.92,1,1
3.72,18,2.11,1.32,0.55,1,0
2.11,17,37.84,1.71,0.36,0,0
4.32,17,47.62,2.26,0.98,0,0
0.74,9,77.76,3.31,0.79,0,1
0.75,0,86.17,1.57,0.04,1,1
2.54,8,12.86,0.75,0.32,0,0
3.59,5,76.37,1.2,0.86,1,1
0.18,9,71.3,2.29,0.47,1,1
0.87,23,40.92,1.0,0.74,1,0
1.16,10,77.75,0.47,0.21,1,1
0.25,5,67.0,0.57,0.04,0,1
3.25,13,79.96,0.6,0.97,0,1
3.97,15,3.7,1.67,0.25,0,0
3.71,23,22.75,2.24,0.46,1,0
1.43,11,1.94,3.75,0.75,0,0
0.55,6,54.3,2.06,0.69,1,1
0.8,11,74.57,3.14,0.37,0,0
2.73,18,82.58,1.15,0.92,0,1
1.85,15,55.67,2.08,0.14,1,0
1.86,13,18.27,3.29,0.65,1,0
4.99,30,35.18,2.36,0.11,1,0
3.63,29,88.5,2.58,0.15,0,0
3.79,10,92.42,3.36,0.61,0,0
2.11,8,21.09,0.41,0.46,0,0
3.16,26,15.93,0.11,0.31,0,0
1.77,20,1.91,3.78,0.05,0,0
2.7,6,34.18,0.66,0.71,1,1
0.37,6,2.14,1.11,0.64,0,0
4.72,19,22.77,1.0,0.85,0,0
1.21,7,3.59,0.19,0.11,1,1
2.08,23,41.16,3.19,0.14,1,0
4.38,14,39.45,3.64,0.25,0,0
3.65,17,89.13,3.71,0.02,1,0
3.51,1,37.49,0.68,0.07,1,0
3.25,5,72.93,2.86,0.32,1,0
1.3,19,46.03,2.17,0.24,0,0
0.49,18,99.36,1.13,0.57,0,1
2.56,18,96.21,2.1,0.46,1,1
1.01,30,51.69,0.69,0.71,1,1
0.57,26,67.68,1.5,0.49,1,1
0.7,29,32.51,2.48,0.34,1,0
0.22,21,36.29,2.44,0.16,0,0
3.8,20,85.67,1.18,0.47,1,1
1.23,16,67.89,0.71,0.76,1,1
1.5,14,99.5,1.31,0.43,1,1
0.33,4,6.3,3.59,0.25,0,0
4.36,26,19.69,3.79,0.19,0,0
3.6,22,9.53,1.39,0.87,1,0
1.92,3,49.71,3.32,0.96,1,0
1.16,0,69.99,3.18,0.48,1,1
2.09,27,10.75,3.8,0.66,0,0
4.63,30,99.39,2.05,0.13,0,0
2.7,26,41.08,2.3,0.73,0,0
0.56,1,70.27,2.97,0.32,1,1
0.55,17,93.99,0.83,0.21,0,1
3.71,15,7.54,0.86,0.18,1,0
0.72,6,61.99,1.13,0.74,0,1
4.13,4,66.34,0.75,0.11,1,1
4.48,30,12.25,3.88,0.06,1,0
2.07,24,84.59,0.34,0.32,1,1
0.17,25,15.06,3.43,0.43,0,0
2.96,30,56.49,3.66,0.89,1,0
1.33,22,59.94,2.93,0.92,1,0
2.82,6,14.59,3.93,0.85,0,0
1.98,4,70.25,3.0,0.34,0,1
0.84,1,95.21,2.1,0.29,0,1
1.28,9,46.04,3.51,0.59,1,0
3.79,24,12.41,3.34,0.28,1,0
0.78,23,22.29,2.57,0.59,0,0
1.48,14,80.61,1.76,0.69,0,1
4.82,3,76.87,3.79,0.64,0,0
3.0,17,92.67,1.5,0.83,0,1
0.6,15,36.42,3.23,0.35,0,0
1.22,25,54.16,0.63,0.05,0,0
3.49,30,31.22,2.99,0.49,0,0
0.93,7,39.36,3.31,0.22,0,0
2.31,7,67.81,0.15,0.72,1,1
2.71,19,55.34,0.18,0.14,1,1
4.52,9,12.33,1.56,0.61,1,0
1.54,26,30.98,1.14,0.4,1,0
3.96,18,16.02,0.37,0.51,0,0
3.99,11,48.11,3.54,0.62,0,0
1.62,23,24.26,1.59,0.42,0,0
3.3,7,93.08,0.78,0.65,1,1
2.13,19,62.17,2.71,0.23,0,0
0.68,27,45.34,0.56,0.95,1,0
3.66,18,83.74,1.54,0.06,1,0
2.6,9,62.69,3.42,0.12,1,0
1.58,14,31.52,3.78,0.97,1,0
2.25,21,40.09,1.55,0.87,0,0
2.69,20,87.03,2.29,1.0,1,1
3.75,9,64.43,3.89,0.06,1,0
3.59,5,0.2,2.61,0.11,1,0
0.29,17,55.61,2.66,0.64,0,0
2.92,9,14.63,0.68,0.18,0,0
1.09,29,57.49,3.84,0.46,0,0
4.82,10,61.97,0.32,0.23,0,1
4.84,27,88.75,1.78,0.59,0,0
3.0,15,55.41,3.02,0.09,0,0
0.8,25,56.06,2.04,0.11,0,0
1.59,7,96.41,0.85,0.29,0,1
1.9,18,42.42,0.71,0.64,1,0
1.7,27,81.16,1.86,0.21,0,0
4.47,1,21.34,3.55,0.83,1,0
0.65,27,64.04,0.28,0.23,0,1
1.88,17,8.56,3.79,0.19,0,0
0.74,1,38.08,2.99,0.8,1,0
2.44,7,67.77,0.47,0.56,0,1
3.06,19,0.07,0.54,0.12,1,0
3.97,15,89.86,3.94,0.76,1,0
3.27,27,60.68,2.27,0.76,0,0
2.14,7,43.48,3.33,0.59,0,0
0.45,20,41.59,3.08,0.47,1,0
3.89,8,74.98,0.35,0.51,0,1
0.15,4,1.02,1.36,0.78,0,1
1.01,12,8.65,3.04,0.86,1,0
4.03,17,49.68,1.83,0.07,0,0
3.98,9,32.55,0.28,0.95,1,1
3.28,22,43.61,0.21,0.22,0,0
0.18,9,49.57,3.51,0.65,1,0
1.04,14,66.07,3.09,0.64,0,0
0.75,4,57.54,3.99,0.69,1,1
1.23,16,75.67,2.06,0.95,1,1
4.84,3,34.68,1.39,0.36,1,0
2.73,14,63.54,0.54,0.0,0,0
4.57,24,6.65,3.99,0.35,0,0
0.37,28,31.85,3.22,0.62,1,0
2.91,30,69.41,1.45,0.02,1,0
2.18,23,0.12,1.74,0.33,1,0
0.86,22,71.63,0.16,0.65,1,1
0.2,11,2.27,1.99,0.89,1,0
4.56,2,36.13,2.29,0.94,1,0
2.26,25,1.13,2.24,0.05,0,0
2.47,25,62.99,4.0,0.27,1,0
0.67,17,60.09,1.65,0.69,1,1
3.65,23,2.8,0.51,0.74,1,0
2.93,1,98.27,0.62,0.43,0,1
3.1,28,18.82,2.09,0.81,0,0
4.71,20,31.66,1.16,0.23,0,0
0.61,5,56.43,1.0,0.93,0,1
0.66,28,94.37,2.98,0.97,0,0
4.38,26,30.57,1.76,0.31,1,0
2.41,22,92.73,0.38,0.24,1,1
2.0,26,98.02,0.27,0.74,0,1
2.05,20,44.48,0.9,0.39,1,0
4.83,17,2.48,2.08,0.71,1,0
4.31,1,38.28,1.08,0.61,1,0
2.46,5,83.1,3.39,0.2,1,1
0.15,0,43.62,2.14,0.59,0,1
4.66,17,12.83,2.55,0.53,0,0
3.48,3,65.26,1.23,0.37,0,1
1.04,18,79.99,1.89,0.61,1,1
1.32,10,14.02,1.17,0.96,0,0
1.1,28,78.97,3.33,0.41,1,0
1.92,23,45.34,2.46,0.19,0,0
1.86,19,53.09,3.84,0.81,0,0
3.06,25,85.07,2.39,0.9,1,0
1.63,2,29.21,1.06,0.79,0,0
2.65,3,0.37,2.21,0.94,0,0
1.92,16,52.59,3.5,0.13,0,0
2.17,14,67.17,3.21,0.82,0,0
1.98,27,53.31,0.33,0.54,0,1
4.98,26,71.26,1.7,0.33,1,0
2.31,3,9.43,2.66,0.71,1,0
2.09,11,1.51,3.42,0.37,0,0
4.22,4,89.13,1.24,0.18,0,1
3.44,12,82.94,2.03,0.27,1,0
2.26,10,53.68,2.14,0.59,1,1
0.49,4,55.98,0.69,0.21,0,1
4.83,12,54.98,1.3,0.49,1,0
1.68,13,54.99,0.9,0.35,0,0
4.22,22,41.05,0.89,0.64,0,0
0.71,8,94.99,0.72,0.7,0,1
1.02,12,83.62,0.79,0.98,1,1
1.01,11,26.86,2.24,0.05,1,0
0.62,13,62.7,1.46,0.55,1,1
1.26,8,89.54,0.57,0.87,0,1
3.64,10,39.52,1.38,0.79,0,0
4.13,2,40.27,1.5,0.0,1,0
2.06,11,53.78,2.69,0.56,1,0
1.21,24,47.77,1.05,0.4,1,0
0.57,13,8.36,1.1,0.0,1,0
1.53,25,19.96,3.13,0.67,0,0
1.05,23,92.68,0.52,0.66,0,1
0.83,20,42.51,0.77,0.79,0,0
0.79,8,67.09,0.47,0.56,0,1
2.05,27,48.81,2.74,0.55,1,0
3.35,2,90.04,2.12,0.33,1,1
4.15,0,56.16,3.76,0.04,0,0
3.16,30,38.2,1.7,0.39,0,0
2.06,6,62.13,1.39,0.4,1,1
1.94,26,17.71,2.08,0.11,1,0
0.78,5,93.74,2.88,0.1,0,1
4.08,12,79.91,1.7,0.61,1,1
0.48,9,71.46,2.13,0.04,1,1
2.27,23,82.75,1.45,0.63,1,1
3.54,9,54.39,1.59,0.31,1,0
0.46,1,11.47,2.81,0.71,0,0
1.26,5,83.36,1.95,0.09,1,1
1.68,15,69.69,1.12,0.62,1,1
2.8,10,91.45,1.89,0.32,1,1
3.94,28,26.41,1.91,0.14,0,0
1.13,9,83.36,3.01,0.04,0,1
3.76,0,25.5,2.1,0.59,0,0
3.18,29,75.21,2.37,0.49,1,0
3.13,10,24.0,1.88,0.85,0,0
1.62,1,58.8,1.78,0.11,1,1
4.54,17,61.55,3.09,0.24,1,0
1.24,30,32.67,1.62,0.72,1,0
1.2,4,87.14,3.21,0.27,0,1
3.84,19,26.42,3.66,0.65,1,0
2.21,4,92.81,3.0,0.6,0,1
3.88,12,92.08,2.03,0.95,0,1
2.24,6,18.57,1.53,0.83,0,0
2.33,21,68.33,2.58,0.59,1,0
2.37,29,68.3,2.01,0.13,1,0
0.11,24,58.56,2.05,0.67,1,1
4.59,11,10.55,1.38,0.18,1,0
1.51,19,15.33,3.09,0.81,0,0
4.39,0,75.96,3.62,0.16,1,0
3.71,30,25.06,1.83,0.2,1,0
1.27,8,26.32,2.29,0.98,0,0
4.96,3,1.19,0.76,0.67,1,0
3.7,8,37.65,2.6,0.23,0,0
0.29,28,78.06,2.07,0.62,1,1
4.8,30,42.17,0.45,0.12,1,0
2.88,21,20.47,0.64,0.52,0,0
1.61,22,58.21,0.5,0.49,0,1
1.24,4,25.05,2.84,0.62,0,0
2.32,26,24.69,3.45,0.06,0,0
3.47,7,53.11,3.87,0.38,1,0
4.23,30,51.22,3.88,0.61,1,0
